category_name,total_orders,merchandise_gmv,freight_gmv,freight_tax_pct,avg_price,avg_freight,avg_review_score,pct_1_star
"electronics",2517,155173.83,45713.43,68.37,56.84,16.74,4.07,12.0
"telephony",4093,310004.11,69470.79,50.8,69.92,15.67,4.0,12.51
"housewares",5743,617836.73,143218.7,40.38,90.61,21.0,4.11,12.62
"home_appliances",747,81856.55,15213.21,40.09,103.35,19.21,4.23,9.24
"consoles_games",1018,148538.37,19110.66,38.56,136.27,17.53,4.14,9.72
"construction_tools_construction",736,142940.29,20313.16,36.88,155.71,22.13,4.09,13.45
"furniture_decor",6307,718344.78,170012.29,34.61,87.19,20.64,3.95,17.96
"fashion_bags_accessories",1820,150162.75,30888.22,33.84,74.93,15.41,4.19,9.67
,1392,171438.59,27143.37,33.76,110.96,17.57,3.94,17.31
"auto",3810,580263.44,90756.53,33.26,139.55,21.83,4.12,11.36
"garden_tools",3448,471671.27,96901.74,33.23,110.15,22.63,4.08,14.62
"stationery",2264,224145.67,45911.82,32.58,90.6,18.56,4.24,9.28
"health_beauty",8647,1237439.95,179829.04,30.15,130.0,18.89,4.19,10.96
"pet_shop",1688,211971.64,38956.7,29.58,110.06,20.23,4.22,10.25
"computers_accessories",6530,896243.28,145070.99,29.4,116.27,18.82,3.98,15.96
"baby",2809,400774.42,66482.49,29.36,134.04,22.23,4.08,12.25
"sports_leisure",7530,960189.09,164448.34,29.35,113.11,19.37,4.17,11.62
"bed_bath_table",9272,1037177.69,204312.09,28.37,93.38,18.39,3.92,16.46
"office_furniture",1254,269418.1,67343.37,27.41,160.56,40.13,3.52,27.03
"perfumery",3086,391175.73,53250.59,27.19,116.59,15.87,4.22,10.99
