category_name,total_orders,seller_overdue_pct,avg_seller_handling_days,avg_review_score
office_furniture,1254,28.25,10.8,3.52
,1392,13.66,3.7,3.94
consoles_games,1018,13.03,3.9,4.14
furniture_decor,6307,11.99,3.7,3.95
pet_shop,1688,11.47,3.2,4.22
computers_accessories,6530,11.08,3.7,3.98
stationery,2264,10.47,3.1,4.24
baby,2809,10.17,3.3,4.08
telephony,4093,9.74,3.5,4.0
housewares,5743,9.53,3.1,4.11
toys,3804,9.41,2.8,4.21
health_beauty,8647,8.87,3.1,4.19
bed_bath_table,9272,8.01,3.1,3.92
garden_tools,3448,7.73,3.2,4.08
sports_leisure,7530,7.41,2.8,4.17
electronics,2517,7.29,2.7,4.07
fashion_bags_accessories,1820,7.09,2.6,4.19
perfumery,3086,6.97,2.9,4.22
auto,3810,6.93,2.9,4.12
watches_gifts,5495,6.88,2.9,4.07
cool_stuff,3559,6.31,2.9,4.19
luggage_accessories,1019,2.88,2.0,4.35
