state,total_orders,carrier_breakdown_orders,carrier_breakdown_pct,avg_transit_days,avg_transit_days_delayed,avg_review_score
MA,721,97.0,13.45,17.9,33.1,3.84
CE,1282,149.0,11.62,17.9,40.6,3.94
BA,3273,338.0,10.33,16.0,36.0,3.93
RJ,12420,1174.0,9.45,12.0,34.8,3.96
PA,952,88.0,9.24,20.3,43.4,3.91
PB,518,45.0,8.69,16.9,37.4,4.08
ES,2004,170.0,8.48,12.4,30.8,4.08
PE,1604,122.0,7.61,15.1,38.7,4.09
MS,712,54.0,7.58,12.4,28.2,4.17
SC,3560,214.0,6.01,11.6,30.4,4.13
GO,1974,100.0,5.07,12.4,33.4,4.1
MT,889,44.0,4.95,14.9,36.4,4.15
RS,5382,257.0,4.78,12.1,35.6,4.19
DF,2099,77.0,3.67,9.8,27.2,4.13
MG,11423,354.0,3.1,8.7,27.1,4.19
PR,4942,147.0,2.97,8.8,28.6,4.24
SP,40712,1077.0,2.65,5.6,22.6,4.25
